year,Temp (°C),Pr (mm),SWE(mm),PET(mm),MSLP (hPa),SP(Pa)
1991,-11.10806268,4.409570342,119.9891889,4.099747665,1016.295457,96369.7529
1992,-11.66520681,3.287602143,149.6494545,3.438642416,1017.62538,96481.27388
1993,-12.25508737,2.421578821,139.7469621,3.706013224,1021.643127,96856.06218
1994,-15.38364317,3.53306287,98.91402391,3.310436314,1020.39632,96678.01761
1995,-11.08776655,4.188430298,61.11221109,4.157686192,1018.363198,96556.9609
1996,-14.01187461,5.978952171,204.3864248,3.644065798,1017.085229,96387.99581
1997,-12.1971849,5.585910386,223.7977279,3.49377358,1017.767384,96481.96842
1998,-7.968142908,4.320231408,114.5858435,3.844384843,1018.886221,96667.57643
1999,-10.38614024,5.460961038,144.4447061,4.654744378,1019.45914,96685.15879
2000,-8.994017693,4.402087093,38.46556721,4.457564765,1018.808491,96649.06903
2001,-10.74604257,4.247966961,169.3049413,3.714041896,1018.36353,96566.6185
2002,-10.35637366,5.909915797,158.8076057,3.882746047,1016.583195,96405.01693
2003,-14.28936964,3.564496215,125.1596346,3.122139417,1017.158739,96389.101
2004,-11.8155775,4.397766701,150.6487526,3.894449754,1020.492553,96755.10646
2005,-11.50175634,3.602947658,148.0244282,3.9746109,1020.595263,96770.76181
2006,-8.92543293,4.511253637,139.4020298,4.08736649,1016.954577,96472.47352
2007,-11.5291354,3.240203736,65.76400868,4.771408634,1018.224257,96543.88773
2008,-11.60013882,4.676241238,184.280639,3.566882939,1017.368075,96461.33071
2009,-12.45426867,3.555090748,150.7111174,3.90842409,1019.625197,96658.46824
2010,-8.309233792,1.427679513,36.32658878,5.791815616,1019.064098,96681.81571
2011,-12.68707138,3.028790856,66.93932104,3.822238092,1019.670035,96658.19164
2012,-6.448898544,5.073710937,82.85066417,4.927873782,1015.610111,96386.09183
2013,-11.17747936,5.516234697,167.486543,3.63373695,1018.047672,96525.50738
2014,-14.64515948,4.699267284,178.6138571,3.181771462,1015.866802,96255.56968
2015,-14.83711541,3.721075391,176.7843433,3.322879104,1020.13949,96661.99793
2016,-9.419283837,5.133623175,120.7647281,4.094197699,1016.144445,96381.38309
2017,-8.406473569,5.598498234,142.9325598,4.54544,1016.077228,96393.43945
2018,-10.91817825,4.534847286,164.8590871,3.974395773,1020.9923,96810.90127
2019,-12.84624022,6.272657796,196.2358816,3.75644407,1019.552272,96641.34352
